Date,Time,PM25,PM10,IAQ,HCHO,CO2,P,TIN,TOUT,RHIN,RHOUT,LAT,LON,HDG,AMSL,AGL,MIL,NO2,NO,SO2,H2S,CO,HCN,HCL,NH3,EC,MRK
2023-02-22,15:09:01,3707,5170,200,92,981,98870,63,59,797,748,500337688,220695669,5426,227140,17756,856,0,0,0,1,1,101,62,136,0,0
2023-02-22,15:09:02,3896,5406,200,98,981,98874,63,59,798,750,500337688,220695669,5426,227140,17756,784,0,0,0,1,1,401,62,136,0,0
2023-02-22,15:09:03,4141,5707,200,100,981,98879,63,59,798,750,500337688,220695669,5426,227140,17756,710.5,0,0,0,1,1,598,31,133.5,0,0
2023-02-22,15:09:04,4386,6008,200,102,981,98884,63,59,798,750,500337688,220695669,5426,227140,17756,637,0,0,0,1,1,795,0,131,0,0
2023-02-22,15:09:05,4515,6177,200,102,981,98884,63,59,798,751,500337688,220695669,5426,227140,17756,562,0,0,0,1,1,508,0,131,0,0
2023-02-22,15:09:06,4692,6391,200,102,971,98884,63,59,798,751,500337688,220695669,5426,227140,17756,490,0,0,0,1,1,324,0,126,0,0
2023-02-22,15:09:07,4887,6638,200,106,981,98873,63,59,799,751,500337688,220695669,5426,227140,17756,836,0,0,0,1,1,549,0,126,0,0
2023-02-22,15:09:08,4991,6781,200,108,981,98873,63,59,799,751,500337688,220695669,5426,227140,17756,763,0,0,0,1,1,632,0,136,0,0
2023-02-22,15:09:09,5025,6824,199,109,981,98885,63,59,799,751,500337688,220695669,5426,227140,17756,690,0,0,0,1,1,404,61,136,0,0
2023-02-22,15:09:10,5049,6855,199,113,981,98885,63,59,799,751,500337688,220695669,5426,227140,17756,615,0,0,0,1,1,370,61,136,0,0
2023-02-22,15:09:11,5060,6877,198.5,114,980.5,98880.5,63,59,798.5,751.5,500337688,220695669,5426,227140,17756,541.5,0,0,0,0.5,1,260,88,136,0,0
2023-02-22,15:09:12,5071,6899,198,115,980,98876,63,59,798,752,500337688,220695669,5426,227140,17756,468,0,0,0,0,1,150,115,136,0,0
2023-02-22,15:09:13,4814,6505,198,116,980,98876,63,59,798,752,500337688,220695669,5426,227140,17756,815,0,0,0,0,1,76,54,131,0,0
2023-02-22,15:09:14,4878,6757,198,119,980,98876,63,59,800,752,500337688,220695669,5426,227140,17756,743,0,0,0,0,1,48,54,131,0,0
2023-02-22,15:09:15,4937,6847,199,119,980,98877,63,59,800,752,500337688,220695669,5426,227140,17756,669,0,0,0,0,1,30,0,131,0,0
2023-02-22,15:09:16,4725,6508,199,119,971,98883,63,59,803,752,500337688,220695669,5426,227140,17756,597,0,0,0,1,1,341,0,117,0,0
2023-02-22,15:09:17,4448,6112,200,121,981,98883,63,59,803,752,500337688,220695669,5426,227140,17756,522,0,0,0,1,1,217,0,117,0,0
