Date,Time,PM25,PM10,IAQ,HCHO,CO2,P,TIN,TOUT,RHIN,RHOUT,LAT,LON,HDG,AMSL,AGL,MIL,NO2,NO,SO2,H2S,CO,HCN,HCL,NH3,EC,MRK
2023-02-22,07:36:50,39,90,393,3,867,98684,133,123,636,607,500542437,219356683,33576,235360,1658,929,2,7118,0,4,0,390,190,234,0,0
2023-02-22,07:36:51,38.5,89,392,3,867,98684,133,123,637.5,607,500542444,219356683.5,33575,235375,1672,603,1.5,7118.5,0,7,0,503.5,133.5,229,0,0
2023-02-22,07:36:52,38,88,391,3,867,98684,133,123,639,607,500542451,219356684,33574,235390,1686,277,1,7119,0,10,0,617,77,224,0,0
2023-02-22,07:36:53,38,86,390,3,867,98684,133,123,639,609,500542461,219356686,33572,235480,1775,191,0,7119,0,14,0,394,58,224,0,0
2023-02-22,07:36:54,40,87,389,3,867,98696,132,123,641,609,500542468,219356688,33569,235480,1776,121,0,7120,0,19,0,763,0,214,0,0
2023-02-22,07:36:55,40.33,86.33,387.33,3.67,867,98692.33,131.67,122.67,641.33,610,500542473.67,219356689.33,33566.33,235470,1766.67,172.33,0,7121,0,19.3,0.3,743,0,211,0,0
2023-02-22,07:36:56,40.67,85.67,385.67,4.33,867,98688.67,131.33,122.33,641.67,611,500542479.33,219356690.67,33563.67,235460,1757.33,223.67,0,7122,0,19.7,0.7,723,0,208,0,0
2023-02-22,07:36:57,41,85,384,5,867,98685,131,122,642,612,500542485,219356692,33561,235450,1748,275,0,7123,0,20,1,703,0,205,0,0
2023-02-22,07:36:58,41,89,382,7,866,98685,131,122,642,612,500542492,219356694,33559,235460,1755,230,0,7123,0,19,1,722,0,205,0,0
2023-02-22,07:36:59,41,91,381,7,866,98695,131,122,643,612,500542490,219356697,33559,235480,1778,162,0,7125,0,19,1,661,0,205,0,0
2023-02-22,07:37:00,40,89,379,7,866,98698,131,122,643,613,500542489,219356699.5,33555,235520,1813,536.5,0,7127,0,18,1,345.5,64,209.5,0,0
2023-02-22,07:37:01,38.33,78.67,377.67,7,866.67,98699,131,122,643.33,613.67,500542489,219356700.67,33553,235540,1834.33,445,0,7127.7,0,17.7,1,307.67,82.67,211,0,0
2023-02-22,07:37:02,36.67,68.33,376.33,7,867.33,98700,131,122,643.67,614.33,500542489,219356701.83,33551,235560,1855.67,353.5,0,7128.3,0,17.3,1,269.83,101.33,212.5,0,0
2023-02-22,07:37:03,35,58,375,7,868,98701,131,122,644,615,500542489,219356703,33549,235580,1877,262,0,7129,0,17,1,232,120,214,0,0
2023-02-22,07:37:04,35.67,59.33,373.33,7,868,98698,130.67,121.67,645,615.33,500542474.33,219356704.33,33546.67,235570,1867.67,486,0,7129.7,0,16.3,1,270.67,80,209.33,0,0
2023-02-22,07:37:05,36.33,60.67,371.67,7,868,98695,130.33,121.33,646,615.67,500542459.67,219356705.67,33544.33,235560,1858.33,710,0,7130.3,0,15.7,1,309.33,40,204.67,0,0
2023-02-22,07:37:06,37,62,370,7,868,98692,130,121,647,616,500542445,219356707,33542,235550,1849,934,0,7131,0,15,1,348,0,200,0,0
2023-02-22,07:37:07,37.5,103.25,369,7,868.25,98690.75,129.75,121,647.5,616.25,500542438.25,219356704.5,33538.75,235567.5,1864.5,733,0,7131.2,0,14.8,1,411.5,0,202.5,0,0
2023-02-22,07:37:08,38,144.5,368,7,868.5,98689.5,129.5,121,648,616.5,500542431.5,219356702,33535.5,235585,1880,532,0,7131.5,0,14.5,1,475,0,205,0,0
2023-02-22,07:37:09,38.5,185.75,367,7,868.75,98688.25,129.25,121,648.5,616.75,500542424.75,219356699.5,33532.25,235602.5,1895.5,331,0,7131.8,0,14.2,1,538.5,0,207.5,0,0
2023-02-22,07:37:10,39,227,366,7,869,98687,129,121,649,617,500542418,219356697,33529,235620,1911,130,0,7132,0,14,1,602,0,210,0,0
2023-02-22,07:37:11,39.67,229.67,365,7,869,98689.33,129,120.67,649.67,617,500542417.67,219356690,33526.67,235666.7,1958,199,0,7134,0,13.7,1,600.67,0,206.67,0,0
2023-02-22,07:37:12,40.33,232.33,364,7,869,98691.67,129,120.33,650.33,617,500542417.33,219356683,33524.33,235713.3,2005,268,0,7136,0,13.3,1,599.33,0,203.33,0,0
2023-02-22,07:37:13,41,235,363,7,869,98694,129,120,651,617,500542417,219356676,33522,235760,2052,337,0,7138,0,13,1,598,0,200,0,0
2023-02-22,07:37:14,40,235,362,7,869,98694,128,120,653,619,500542422,219356667,33519,235760,2055,235,0,7138,0,13,1,740,0,200,0,0
2023-02-22,07:37:15,40,234,361,7,869,98696,128,120,653,619,500542426,219356661,33517,235740,2036,144,0,7138,0,13,1,473,0,200,0,0
2023-02-22,07:37:16,41,237,359.5,7,869,98696,128,120,657,620,500542434.5,219356654,33514.5,235745,2040.5,541.5,0,7140,0,12,1,412,0,210,0,0
2023-02-22,07:37:17,42,241.5,358.75,7,869,98698,127.5,120,657.5,620.5,500542442.75,219356653,33512.75,235752.5,2046.25,443.25,0,7140.5,0,12,1,377,0,200,0,0
2023-02-22,07:37:18,43,246,358,7,869,98700,127,120,658,621,500542451,219356652,33511,235760,2052,345,0,7141,0,12,1,342,0,190,0,0
2023-02-22,07:37:19,44.5,254.5,356.5,7,869,98700,127,119.5,658,621.5,500542456.5,219356649,33508.5,235760,2055,265,0,7141,0,11.5,1,444,19,190,0,0
2023-02-22,07:37:20,46,263,355,7,869,98700,127,119,658,622,500542462,219356646,33506,235760,2058,185,0,7141,0,11,1,546,38,190,0,0
2023-02-22,07:37:21,46,263,354,7,869,98698.5,127,119,657.5,622,500542465.5,219356646,33504.5,235760,2055,95,0,7142,0,11,1,435.5,38,204.5,0,0
2023-02-22,07:37:22,46,263,353,7,869,98697,127,119,657,622,500542469,219356646,33503,235760,2052,5,0,7143,0,11,1,325,38,219,0,0
2023-02-22,07:37:23,46,274,351.5,7,869,98696.5,126.5,118.5,656.5,622,500542473,219356647.5,33499,235805,2098,144,0,7144.5,0,10.5,1,286.5,19,212,0,0
2023-02-22,07:37:24,46,285,350,7,869,98696,126,118,656,622,500542477,219356649,33495,235850,2144,283,0,7146,0,10,1,248,0,205,0,0
2023-02-22,07:37:25,46,286,349,7,869,98688,126,118,656,622,500542477,219356653,33491,235820,2116,203,0,7147,0,10,1,158,0,210,0,0
2023-02-22,07:37:26,46,286,348,7,869,98688,126,118,656,622,500542475,219356657,33487,235820,2114,121,0,7147,0,10,1,100,0,210,0,0
2023-02-22,07:37:27,46,287,346.5,7,869.5,98685.5,126,118,656,622.5,500542474,219356664.5,33482.5,235855,2147,258,0,7147.5,0,10,1,115.5,0,202.5,0,0
2023-02-22,07:37:28,46,288,345,7,870,98683,126,118,656,623,500542473,219356672,33478,235890,2180,395,0,7148,0,10,1,131,0,195,0,0
2023-02-22,07:37:29,47,291,344,7,870,98683,126,117,656,623,500542473,219356674,33476,235940,2235,312,0,7148,0,10,1,550,0,195,0,0
2023-02-22,07:37:30,47,291.67,343.33,7,870,98687.67,125.67,117,655.67,622.67,500542473.67,219356676.67,33472.67,235970,2263.67,230.67,0,7149,0,9.7,1,483.33,0,203,0,0
2023-02-22,07:37:31,47,292.33,342.67,7,870,98692.33,125.33,117,655.33,622.33,500542474.33,219356679.33,33469.33,236000,2292.33,149.33,0,7150,0,9.3,1,416.67,0,211,0,0
