Date,Time,PM25,PM10,IAQ,HCHO,CO2,P,TIN,TOUT,RHIN,RHOUT,LAT,LON,HDG,AMSL,AGL,MIL,NO2,NO,SO2,H2S,CO,HCN,HCL,NH3,EC,MRK
2022-12-13,12:16:08,270,581,149,50,965,98081,74,52,606,596,500285266,219679460,14643,236160,1221,645,0,0,0,0,0,496,0,297,0,0
2022-12-13,12:16:09,269.5,579.5,149,50,966,98087.5,73.5,52,606.5,596,500285259.5,219679461.5,14644,236190,1254,779.5,0,0,0,0,0,403.5,0,292.5,0,0
2022-12-13,12:16:10,269,578,149,50,967,98094,73,52,607,596,500285253,219679463,14645,236220,1287,914,0,0,0,0,0,311,0,288,0,0
2022-12-13,12:16:11,269,581,148,50,967,98094,73,52,607,597,500285248,219679461,14645,236260,1329,831,0,0,0,0,0,359,0,288,0,0
2022-12-13,12:16:12,271,585,149,50,968,98095,72,52,608,597,500285242,219679459,14646,236300,1369,759,0,0,0,0,0,229,0,273,0,0
2022-12-13,12:16:13,271,606,149,50,970,98095,72,51,608,600,500285238,219679459,14645,236340,1405,662,0,0,0,0,0,545,0,273,0,0
2022-12-13,12:16:14,271.33,614.67,148.67,48.67,970.67,98092.33,72,50.67,608.33,599,500285228,219679461.67,14645,236403.3,1467.33,720,0,0,0,0.33,0,586.67,0,281,0,0
2022-12-13,12:16:15,271.67,623.33,148.33,47.33,971.33,98089.67,72,50.33,608.67,598,500285218,219679464.33,14645,236466.7,1529.67,778,0,0,0,0.67,0,628.33,0,289,0,0
2022-12-13,12:16:16,272,632,148,46,972,98087,72,50,609,597,500285208,219679467,14645,236530,1592,836,0,0,0,1,0,670,0,297,0,0
2022-12-13,12:16:17,270,601,147,46,972,98085,71,50,610,597,500285203,219679470,14644,236500,1565,767,0,0,0,1,0,855,0,288,0,0
2022-12-13,12:16:18,269.67,606.67,147,46,971.67,98085.33,70.67,50,610,598,500285197.67,219679471.67,14643,236483.3,1548.67,828,0,0,0,1,0,896.67,34.67,279.67,0,0
2022-12-13,12:16:19,269.33,612.33,147,46,971.33,98085.67,70.33,50,610,599,500285192.33,219679473.33,14642,236466.7,1532.33,889,0,0,0,1,0,938.33,69.33,271.33,0,0
2022-12-13,12:16:20,269,618,147,46,971,98086,70,50,610,600,500285187,219679475,14641,236450,1516,950,0,0,0,1,0,980,104,263,0,0
2022-12-13,12:16:21,266,617,147,46,971,98086,70,50,610,600,500285180,219679476,14639,236490,1551,858,0,0,0,0,0,888,104,263,0,0
2022-12-13,12:16:22,266,617,147,46,972,98085,70,50,610,600,500285167,219679475,14636,236550,1616,781,0,0,0,0,0,571,104,288,0,0
2022-12-13,12:16:23,266,617,147,46,972,98085,70,49,610,600,500285159,219679476,14635,236640,1701,699,0,0,0,0,0,364,104,288,0,0
2022-12-13,12:16:24,263,607.5,147,46,973,98085,69.5,49,610.5,600,500285155,219679475.5,14635,236670,1731.5,374.5,0,0,0,0,0,376,52,288,0,0
2022-12-13,12:16:25,260,598,147,46,974,98085,69,49,611,600,500285151,219679475,14635,236700,1762,50,0,0,0,0,0,388,0,288,0,0
2022-12-13,12:16:26,258.5,591.5,146.5,46,974,98090.5,68.5,49,612.5,600,500285150,219679477,14632,236690,1754,439,0,0,0,0,0,496.5,0,280.5,0,0
2022-12-13,12:16:27,257,585,146,46,974,98096,68,49,614,600,500285149,219679479,14629,236680,1746,828,0,0,0,0,0,605,0,273,0,0
2022-12-13,12:16:28,254,576,146,46,974,98096,68,49,614,601,500285149,219679479,14627,236690,1750,731,0,0,0,0,0,387,31,273,0,0
2022-12-13,12:16:29,252.75,583.5,146.25,44.25,974,98096,68,48.75,615,601.25,500285145.75,219679482.25,14627,236702.5,1764.75,624,0,0,0,0,0,386.25,31,285,0,0
2022-12-13,12:16:30,251.5,591,146.5,42.5,974,98096,68,48.5,616,601.5,500285142.5,219679485.5,14627,236715,1779.5,517,0,0,0,0,0,385.5,31,297,0,0
2022-12-13,12:16:31,251,603,147,42,974,98093,68,48,616,602,500285133,219679486,14626,236790,1855,897,0,0,0,0,0,612,31,288,0,0
2022-12-13,12:16:32,249,603,147,42,974,98093,67,47,618,604,500285122,219679488,14623,236850,1914,826,0,0,0,0,0,905,31,288,0,0
2022-12-13,12:16:33,246,588,147,42,974,98093,67,47,618,604,500285115,219679488,14622,236970,109,735,0,0,0,0,0,579,0,288,0,0
2022-12-13,12:16:34,245.5,587,146.5,42,974,98092,67,47,619.5,604,500285113,219679488.5,14621,237010,146.5,413,0,0,0,0,0,737.5,4.5,295,0,0
2022-12-13,12:16:35,245,586,146,42,974,98091,67,47,621,604,500285111,219679489,14620,237050,184,91,0,0,0,0,0,896,9,302,0,0
2022-12-13,12:16:36,243,574,146,42,974,98091,67,48,621,606,500285106,219679491,14617,237060,190,13,0,0,0,0,0,959,9,302,0,0
2022-12-13,12:16:37,386,1370.5,145,42,974,98094.5,66.5,48,621.5,607,500285100.5,219679494,14630.5,237200,330.5,376,0,0,0,0.5,0,789,4.5,295,0,0
2022-12-13,12:16:38,529,2167,144,42,974,98098,66,48,622,608,500285095,219679497,14644,237340,471,739,0,0,0,1,0,619,0,288,0,0
2022-12-13,12:16:39,658.5,2788.5,144,42,974,98098,65.5,47.5,622.5,609.5,500285097,219679500,13808.5,237730,862,422.5,0,0,0,1,0,600,40.5,288,0,0
2022-12-13,12:16:40,788,3410,144,42,974,98098,65,47,623,611,500285099,219679503,12973,238120,1253,106,0,0,0,1,0,581,81,288,0,0
2022-12-13,12:16:41,869.5,3803.5,144,42,974,98098,65,45.5,624,610,500285096,219679503,13455.5,239690,2821.5,461,0,0,0,1,0,526.5,81,295,0,0
2022-12-13,12:16:42,951,4197,144,42,974,98098,65,44,625,609,500285093,219679503,13938,241260,4390,816,0,0,0,1,0,472,81,302,0,0
2022-12-13,12:16:43,957,4229.33,144,42,974,98078,64.67,43.67,625,611,500285097.67,219679509.33,13910,241843.3,4973.67,571,0,0,0,0.67,0,503.67,54,292.33,0,0
2022-12-13,12:16:44,963,4261.67,144,42,974,98058,64.33,43.33,625,613,500285102.33,219679515.67,13882,242426.7,5557.33,326,0,0,0,0.33,0,535.33,27,282.67,0,0
2022-12-13,12:16:45,969,4294,144,42,974,98038,64,43,625,615,500285107,219679522,13854,243010,6141,81,0,0,0,0,0,567,0,273,0,0
2022-12-13,12:16:46,973,4286,144,42,973,98038,64,43,625,615,500285091,219679589,13911,242940,6077,918,0,0,0,0,0,379,0,273,0,0
2022-12-13,12:16:47,973,4287,144,42,972,98038,64,42,625,612,500285077,219679626,13938,242960,6093,853,0,0,0,0,0,556,0,273,0,0
2022-12-13,12:16:48,976,4294,144,42,970,98019,63,42,624,612,500285067,219679649,13900,243100,6230,790,0,0,0,1,0,355,0,293,0,0
2022-12-13,12:16:49,977,4299.5,143.5,42,970,98019,63,41.5,624,614,500285035,219679695.5,13918.5,243635,6766,452.5,0,0,0,1,0,429,0,293,0,0
2022-12-13,12:16:50,978,4305,143,42,970,98019,63,41,624,616,500285003,219679742,13937,244170,7302,115,0,0,0,1,0,503,0,293,0,0
2022-12-13,12:16:51,983.5,4342.5,143,42,969,98019,63,40,624,616.5,500284988,219679768,13906,244160,7295.5,494,0,0,0,0.5,0,402,0,297.5,0,0
2022-12-13,12:16:52,989,4380,143,42,968,98019,63,39,624,617,500284973,219679794,13875,244150,7289,873,0,0,0,0,0,301,0,302,0,0
2022-12-13,12:16:53,990,4371,143,42,969,98019,62,39,624,617,500284970,219679805,13809,244110,7247,777,0,0,0,0,0,192,0,312,0,0
2022-12-13,12:16:54,991,4382.5,143,42,969,98018,62,38.5,624,616,500284967.5,219679802,13809,244070,7208,462,0,0,0,0,0,318,0,312,0,0
2022-12-13,12:16:55,992,4394,143,42,969,98017,62,38,624,615,500284965,219679799,13809,244030,7169,147,0,0,0,0,0,444,0,312,0,0
2022-12-13,12:16:56,993,4393,143,42,971,98018,61,38,624,615,500284965,219679797,13855,243430,6562,55,0,0,0,0,0,480,0,288,0,0
2022-12-13,12:16:57,999,4424,143,42,973,98018,61,35,624,612,500284986,219679762,13877,242680,5814,903,0,0,0,0,0,253,0,288,0,0
2022-12-13,12:16:58,999.33,4421,142.67,42,973.33,98021,60.67,34.33,624.33,613.33,500285001.33,219679734.33,13858,242246.7,5380.33,653.33,0,0,0,0.33,0,259.33,0,284.67,0,0
2022-12-13,12:16:59,999.67,4418,142.33,42,973.67,98024,60.33,33.67,624.67,614.67,500285016.67,219679706.67,13839,241813.3,4946.67,403.67,0,0,0,0.67,0,265.67,0,281.33,0,0
2022-12-13,12:17:00,1000,4415,142,42,974,98027,60,33,625,616,500285032,219679679,13820,241380,4513,154,0,0,0,1,0,272,0,278,0,0
2022-12-13,12:17:01,999,4442.5,142,42,972,98042,60,32,625,616,500285054,219679644,13875.5,240775,3912,531,0,0,0,1,0,503.5,0,283,0,0
2022-12-13,12:17:02,1003,4484,142,42,970,98042,60,31,625,616,500285057,219679579,13874,240340,3471,903,0,0,0,1,0,592,16,307,0,0
2022-12-13,12:17:03,1007,4499,141,42,969,98042,60,31,626,616,500285047,219679531,13888,240240,3378,835,0,0,0,1,0,624,16,307,0,0
2022-12-13,12:17:04,1008.5,4515,141,42,969.5,98056,60,30.5,626,615,500285043.5,219679523,13905.5,240030,3165,500,0,0,0,1,0,471.5,16,307,0,0
2022-12-13,12:17:05,1010,4531,141,42,970,98070,60,30,626,614,500285040,219679515,13923,239820,2952,165,0,0,0,1,0,319,16,307,0,0
